Date,Open,High,Low,Close,Adj Close,Volume
2020-11-04,7.690000,8.020000,7.530000,7.850000,7.842785,126925100
2020-11-05,7.950000,8.050000,7.910000,7.990000,7.982656,85806800
2020-11-06,8.020000,8.140000,7.960000,8.090000,8.082564,84125500
2020-11-09,9.350000,9.410000,8.610000,8.720000,8.711986,193282700
2020-11-10,8.820000,9.100000,8.750000,8.980000,8.971746,164733600
2020-11-11,9.110000,9.120000,8.830000,8.890000,8.881829,87440000
2020-11-12,8.760000,8.870000,8.670000,8.760000,8.751949,79518400
2020-11-13,8.860000,9.250000,8.850000,9.250000,9.241498,129980300
2020-11-16,9.610000,9.640000,9.420000,9.570000,9.561204,118772000
2020-11-17,9.450000,9.740000,9.330000,9.680000,9.671103,90348600
2020-11-18,9.970000,10.050000,9.730000,9.730000,9.721057,148865800
2020-11-19,9.620000,9.760000,9.510000,9.660000,9.651121,87177500
2020-11-20,9.640000,9.830000,9.590000,9.760000,9.751030,80135500
2020-11-23,9.860000,10.270000,9.860000,10.070000,10.060744,108197300
2020-11-24,10.710000,10.850000,10.400000,10.450000,10.440395,176288800
2020-11-25,10.530000,10.560000,10.340000,10.500000,10.490350,109872900
2020-11-27,10.550000,10.560000,10.310000,10.400000,10.390441,54154800
2020-11-30,10.390000,10.390000,9.960000,10.180000,10.170644,125104100
2020-12-01,10.330000,10.480000,10.110000,10.150000,10.140671,86906200
2020-12-02,10.080000,10.480000,10.010000,10.430000,10.420414,77235600
2020-12-03,10.400000,10.700000,10.390000,10.600000,10.590258,91452900
2020-12-04,10.670000,10.930000,10.510000,10.880000,10.870000,135020900
2020-12-07,10.890000,11.100000,10.760000,10.860000,10.850019,97404000
2020-12-08,10.820000,11.030000,10.790000,10.960000,10.949926,93378300
2020-12-09,11.000000,11.490000,11.000000,11.390000,11.379532,126135500
2020-12-10,11.080000,11.480000,11.060000,11.320000,11.309595,95671600
2020-12-11,11.280000,11.410000,11.020000,11.160000,11.149743,88985700
2020-12-14,11.270000,11.350000,10.790000,10.830000,10.820046,79317500
2020-12-15,10.950000,11.150000,10.650000,11.110000,11.099789,86745800
2020-12-16,11.130000,11.150000,10.900000,10.930000,10.919954,58815800
2020-12-17,10.940000,10.990000,10.800000,10.880000,10.870000,62446000
2020-12-18,10.780000,11.120000,10.740000,10.810000,10.810000,114753600
2020-12-21,10.470000,10.870000,10.360000,10.770000,10.770000,85818700
2020-12-22,10.710000,10.760000,10.490000,10.610000,10.610000,89007500
2020-12-23,10.680000,10.980000,10.620000,10.860000,10.860000,60504500
2020-12-24,10.850000,10.850000,10.620000,10.650000,10.650000,30049700
2020-12-28,10.700000,10.780000,10.580000,10.640000,10.640000,53796700
2020-12-29,10.660000,10.770000,10.540000,10.560000,10.560000,53035900
2020-12-30,10.580000,10.850000,10.550000,10.710000,10.710000,50621000
